年,年,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种, 借方 ,贷方
01,17,记账-0019,1,陈文芳出差广州-售前项目,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：售前及产品调研】,人民币," 2,835.12 ",
01,17,记账-0023,1,张文报销打车费,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：售前及产品调研】,人民币, 106.69 ,
01,17,记账-0023,3,张文报销出差,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：售前及产品调研】,人民币," 1,890.77 ",
01,17,记账-0027,1,郝琳报销餐费,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 790.00 ,
01,17,记账-0029,1,付高立酒店住宿费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币, 291.26 ,
01,17,记账-0033,1,廖鹏远报销住宿费,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 800.24 ,
01,17,记账-0037,1,李志慧出差上海,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币," 1,047.29 ",
01,17,记账-0038,1,汤志燕报销餐费-空降兵头盔,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 1,941.00 ",
01,17,记账-0038,2,汤志燕报销打车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 41.45 ,
01,17,记账-0038,3,汤志燕报销餐费,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：面向体系论证评估的机器学习应用关键技术研究】,人民币," 1,914.00 ",
01,17,记账-0039,1,俞春荣报销车费-装甲模拟器,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 1,201.77 ",
01,17,记账-0039,3,俞春荣报销车费-05A项目,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：05A模拟器】,人民币, 88.99 ,
01,17,记账-0039,5,俞春荣报销车费-大运模拟器,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：大运模拟器】,人民币, 894.04 ,
01,17,记账-0047,1,汤志燕出差西安-装甲模拟器,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 1,387.77 ",
01,17,记账-0047,6,汤志燕出差西安-装甲模拟器,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 1,546.71 ",
01,17,记账-0049,1,汤军出差成都,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 2,352.57 ",
01,17,记账-0049,4,汤军出差成都,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币," 1,827.68 ",
01,18,记账-0052,1,汤军出差北京-lj体系贡献率,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币," 2,465.74 ",
